"Issue ID","Issue Type","Summary","Labels","Start Date","Due Date","Sprint","Parent ID","Description"
"PD-001","Story","Three-page Planning Dashboard with persistent scope and component sub-tabs","planning-module, completed","2026-04-26","2026-04-28","Sprint 1","","Plan / Map / Evaluate top-level dashboard with persistent scope header (site multi-select + duration) and a Capacity / Energy / RECs sub-tab row shared across Plan and Evaluate. Sub-tab state persists across page switches.

ACCEPTANCE CRITERIA:
- [x] Plan, Map, Evaluate routes wired and gated by ProtectedRoute
- [x] Scope bar collapse/expand with site checkboxes + start/end year
- [x] Component sub-tab row visible on Plan and Evaluate (hidden on Map)
- [x] Cross-page sub-tab state preserved"
"PD-002","Story","Integrate year-aware load and capacity data structures (multi-year scope, mid-year bumps)","planning-module, completed, math-integration","2026-04-28","2026-04-30","Sprint 1","","Wire the UI and data layer to consume year-aware load multipliers and capacity data. Ensure aggregate-aware helpers (getEffectiveLoadAt, getSiteCapacityForYear) correctly feed the Planning Module charts.

ACCEPTANCE CRITERIA:
- [x] LoadAdjustment + CapacityByYear types integrated into SiteLoadProfile schema
- [x] getEffectiveLoadAt data flow handles single-site and aggregate paths correctly
- [x] All charts and Risk Report read year-aware values (no static fallthroughs)
- [x] Manassas +25% Jul 2027 demo bump visible everywhere"
"PD-003","Story","2D + 3D load forecast & procurement chart with contract gen-shape tracking","planning-module, completed, chart","2026-04-30","2026-05-02","Sprint 1","","Plan→Energy chart: 2D mode renders per-hour or per-month bars with teal baseload + amber peak tier backgrounds and per-contract pattern shading. 3D mode shows oblique ribbon (X=hour, Y=MW, Z=month). Contract MW tracks load via getContractLoadMultAt. Over-hedge renders below y=0 in red pattern.

ACCEPTANCE CRITERIA:
- [x] Hours / Months toggle, year tabs, All years mode for multi-year scope
- [x] Contract dataKeys are project-name-based for stable Recharts stacking
- [x] Contract bars cap at totalLoad; excess routes to negative overhedge slot
- [x] stackOffset=sign applied so over-hedge anchors at y=0 going down"
"PD-004","Story","Capacity coverage chart with documented expansion stepping","planning-module, completed, chart","2026-05-02","2026-05-04","Sprint 1","","Capacity sub-tab single-color (indigo) capacity bar with per-source SVG patterns. Bar height steps year-over-year for documented expansions.

ACCEPTANCE CRITERIA:
- [x] CapacityCoverageChart component built per LoadShape2D conventions
- [x] LINKED_CAPACITY_SOURCES fixture seeds Ashburn 50 + Manassas 30 BRA
- [x] Sterling renders as fully-uncovered greenfield site
- [x] Bar height respects getSiteCapacityForYear per row"
"PD-005","Story","Per-site capacity cards with brownfield + greenfield decision panels","planning-module, completed","2026-05-04","2026-05-06","Sprint 1","","SiteCapacityCard component: brownfield sites show BRA pass-through panel; greenfield sites show options table (Utility Queue, multi-year fixed, BTM BESS, BTM Mini-NG). View Document, Solicit RFQ, BRA History dialogs.

ACCEPTANCE CRITERIA:
- [x] Brownfield + greenfield panels render based on SITE_CAPACITY_META
- [x] View Document → Documents page in selection mode
- [x] Solicit RFQ → ComingSoonDialog with Contracting Module reference
- [x] View BRA History → ComingSoonDialog with feed-launch reference"
"PD-006","Story","Risk Report — summary cards + risk decomposition + Contracted Position","planning-module, completed, risk-report","2026-05-05","2026-05-07","Sprint 1","","Evaluate page: 5 summary cards (Baseline, Proposed P50, Savings, Contracted Coverage, Total Load Scope), 5-row risk decomposition table, per-site Contracted Position bars. Year-tab synchronises headline cards with chart.

ACCEPTANCE CRITERIA:
- [x] Summary cards lifted out of Energy-only block — visible on every sub-tab
- [x] Contracted Coverage uses year-aware, term-gated, multiplier-aware math
- [x] Risk decomposition: 5 of 8 metrics with placeholder for the other 3
- [x] Contracted Position bars on right column"
"PD-007","Story","Map — OSM basemap, PJM zones, project pins, site pins, Examine Fit","planning-module, completed, map","2026-05-07","2026-05-09","Initial Setup","","MapLibre GL view: OSM basemap, PJM zone overlay, project pins by gen type, buyer site pins. Generation legend doubles as filter. Examine Fit ribbon on project popups offers scope expansion or project detail handoff.

ACCEPTANCE CRITERIA:
- [x] Map page wired into Layout with full-bleed map + sidebar
- [x] Project pins fly-to behaviour from sidebar
- [x] Site pins (Ashburn / Manassas / Sterling — DOM zone) overlaid
- [x] PJM-only filter (non-PJM projects suppressed by default)"
"PD-008","Story","Documents page — empty-state UX and soft error handling","planning-module, completed, ux","2026-05-09","2026-05-10","Initial Setup","","Replaced Failed to fetch power plans red error banner with graceful empty state when backend returns 5xx or is unavailable. Underlying error logged to console for diagnostics.

ACCEPTANCE CRITERIA:
- [x] Catch block sets documents=[] and clears error state
- [x] EmptyState renders unchanged when result is empty
- [x] Console.warn preserves diagnostic info"
"PD-009","Story","Tariff link / unlink flow with selection mode on Documents page","planning-module, completed","2026-05-10","2026-05-12","Demo Prep 1","","View Document dialog on Capacity card opens linked tariff or routes to Documents page in selection mode. Persisted via localStorage.

ACCEPTANCE CRITERIA:
- [x] TariffDialog opens with link / unlink states
- [x] Documents page detects selection mode + renders selectable rows
- [x] Selecting a doc writes the link and navigates back"
"PD-010","Story","Renamed dashboard surface labels — Plan / Map / Evaluate","planning-module, completed, ux","2026-05-12","2026-05-13","Demo Prep 1","","User-facing labels: Forecast → Plan, Risk → Evaluate. Internal route names unchanged. Hedge Coverage → Contracted Coverage; Hedge Position → Contracted Position.

ACCEPTANCE CRITERIA:
- [x] DASHBOARD_VIEWS labels updated
- [x] Risk Report card titles updated
- [x] Internal var names retained (not user-visible)"
